열 이름,데이터 형식,구분
dog,int64,numerical
cat,object,categorical
rabbit,float64,numerical
deer,float64,numerical
panda,int64,numerical
koala,object,categorical
otter,object,categorical
hedgehog,float64,numerical
squirrel,int64,numerical
dolphin,int64,numerical
penguin,int64,numerical
turtle,float64,numerical
elephant,int64,numerical
giraffe,object,categorical
lamb,int64,numerical
goat,object,categorical
cow,float64,numerical
horse,int64,numerical
donkey,object,categorical
pony,object,categorical
llama,object,categorical
mouse,int64,numerical
hamster,object,categorical
guinea,int64,numerical
duck,object,categorical
chicken,float64,numerical
sparrow,int64,numerical
parrot,int64,numerical
finch,int64,numerical
canary,int64,numerical
bee,float64,numerical
butterfly,object,categorical
ladybug,int64,numerical
snail,float64,numerical
frog,int64,numerical
cricket,int64,numerical
tamarin,object,categorical
wallaby,object,categorical
wombat,int64,numerical
zebra,int64,numerical
flamingo,float64,numerical
peacock,int64,numerical
bat,int64,numerical
fox,int64,numerical
beaver,int64,numerical
monkey,object,categorical
seal,float64,numerical
robin,int64,numerical
loon,float64,numerical
swan,int64,numerical
goldfish,int64,numerical
minnow,int64,numerical
mole,int64,numerical
shrew,float64,numerical
puffin,int64,numerical
owl,int64,numerical
bunny,int64,numerical
bear,float64,numerical
chipmunk,object,categorical
cub,float64,numerical
acorn,int64,numerical
leaf,object,categorical
cloud,float64,numerical
rainbow,float64,numerical
puddle,int64,numerical
berry,int64,numerical
apple,int64,numerical
honey,int64,numerical
pumpkin,int64,numerical
teddy,object,categorical
blanket,object,categorical
button,int64,numerical
whistle,int64,numerical
marble,int64,numerical
wagon,float64,numerical
storybook,int64,numerical
candle,object,categorical
clover,float64,numerical
bubble,int64,numerical
cookie,object,categorical
